Id,SalePrice
1461,122117.3021766896
1462,166703.0987282322
1463,182425.75747482464
1464,191876.388957978
1465,178166.36090271847
1466,169563.51960741825
1467,170829.3940387965
1468,164048.6817599212
1469,181521.8794695669
1470,123639.84376487913
1471,190306.05767406762
1472,103506.12261533682
1473,101020.37658241007
1474,152098.33854270133
1475,127000.76502542153
1476,369855.10404462146
1477,225799.7070097922
1478,287126.2252288235
1479,278367.03014484124
1480,424121.7749648597
1481,292349.4317444306
1482,203375.55307713992
1483,163973.59070371347
1484,162909.70852509828
1485,178129.25346925206
1486,188416.5885340473
1487,299613.6211403998
1488,191464.36105020661
1489,197699.77189649432
1490,209441.3748479573
1491,189555.83705061043
1492,90090.20864771682
1493,184721.82865168812
1494,266422.01695088274
1495,275816.33847262606
1496,222580.83725029064
1497,170776.16521070927
1498,160991.20253447042
1499,154118.64406934025
1500,146927.55010214407
1501,168961.4260977754
1502,157062.3647430355
1503,278695.2174350897
1504,229923.7993794839
1505,207573.18974996835
1506,178524.7655682197
1507,241532.89038730614
1508,191332.95995767848
1509,155878.38836957197
1510,140093.15382889725
1511,138330.03653369733
1512,158018.47694020407
1513,141309.39293293576
1514,160765.3002592736
1515,187795.79182831146
1516,154078.57291715013
1517,165252.7302748179
1518,134443.29529777786
1519,209305.8217295221
1520,131196.6200419526
1521,138413.51810386774
1522,156434.59013392733
1523,111653.22062636289
1524,117648.2002024755
1525,124939.18370987638
1526,121755.70647681395
1527,104027.67560406012
1528,139221.04460102256
1529,140570.5399077298
1530,169382.53293347495
1531,129222.74724019684
1532,96113.52560020829
1533,121209.06268324883
1534,122997.4098592458
1535,157715.78684970678
1536,114671.34346496308
1537,74412.13765857153
1538,167199.7010242751
1539,197558.4958317223
1540,103537.90055815014
1541,132091.83322231565
1542,143593.75626048067
1543,205512.55564725507
1544,79420.2371061664
1545,108839.40226573491
1546,126129.25203319025
1547,140984.9751905966
1548,134607.53738881904
1549,115128.9794334471
1550,130474.73573961624
1551,112747.51510245822
1552,131170.50448425364
1553,138486.07463631372
1554,107502.67114161976
1555,180163.6283915562
1556,97518.97528424264
1557,100399.92132824751
1558,103828.34587512618
1559,79547.55383088753
1560,136299.45123446186
1561,129574.04649994474
1562,122989.80742303972
1563,119684.37878291857
1564,154009.68044436676
1565,146423.94806495542
1566,233213.6194524567
1567,72755.51201153101
1568,226224.56267005924
1569,133467.9092152458
1570,141499.465081745
1571,125143.22899102814
1572,142812.9653066325
1573,243655.7538060368
1574,97564.2270551153
1575,222026.5962098453
1576,218400.74470348502
1577,184489.27067837876
1578,137851.15642119202
1579,140966.90086828495
1580,191726.35730330786
1581,148653.94628400935
1582,121601.29871829218
1583,281289.0243660217
1584,220022.78903814591
1585,138167.61172660853
1586,81850.56981821265
1587,101719.98566920312
1588,151210.22310933896
1589,80320.1171445524
1590,129760.18235371739
1591,86425.15322933695
1592,124181.42722167767
1593,115129.68034107084
1594,166837.02283901378
1595,117165.93629241452
1596,241181.38396123154
1597,201636.67588898525
1598,207528.96324108687
1599,181834.7609847898
1600,170936.83891247315
1601,76390.56473805835
1602,107083.48262871931
1603,82418.82831111852
1604,280577.86764394154
1605,226108.7482211362
1606,163431.84294310707
1607,172798.69072175972
1608,192872.41318393298
1609,188143.0786160749
1610,147703.35722252974
1611,129833.9155444047
1612,160817.9644290241
1613,154546.09690538482
1614,121492.4197571856
1615,88042.14522458822
1616,66917.14444828511
1617,95328.57052164407
1618,127444.3665374938
1619,137608.0231580682
1620,157053.1685999407
1621,133870.15130536997
1622,144060.66180842542
1623,266171.84903144994
1624,210001.63285015387
1625,129901.46818839805
1626,156057.40013133164
1627,186474.1519687472
1628,288539.83543100127
1629,178066.04154152877
1630,347478.18551473424
1631,220432.28429215943
1632,226358.80499793432
1633,170621.08083479563
1634,184287.85772614926
1635,174165.3842160419
1636,150842.87774611436
1637,180391.28498430373
1638,202479.69173994832
1639,179539.4418385097
1640,260148.49966000204
1641,176765.86634622008
1642,215544.0718861335
1643,215242.5698730798
1644,222482.58475416852
1645,178559.0101212862
1646,153553.61809160086
1647,151624.32009838353
1648,127642.85144028973
1649,139126.74859152565
1650,115941.701105659
1651,123732.3043891484
1652,97688.99547635342
1653,94822.56279029028
1654,141994.1511949207
1655,139559.6446645023
1656,141963.79654464655
1657,140054.53954773652
1658,145905.97265128948
1659,131491.79362914257
1660,156733.71281304592
1661,410804.8949245275
1662,361691.090340763
1663,347648.22622686985
1664,451262.74338973785
